"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "HTML", "SCSS", "CSS", "C#", "XML", "comment", "blank", "total"
"g:\InternShipApp\API\Models\MeetingInternGroup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\Note.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -9, -22
"g:\InternShipApp\API\Models\PasswordkLink.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -6, -16
"g:\InternShipApp\API\Models\Person.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, -40, -84
"g:\InternShipApp\API\Models\Post.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -13, -30
"g:\InternShipApp\API\Models\PostCommentReaction.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -12, -28
"g:\InternShipApp\API\Models\PostPicture.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -7, -18
"g:\InternShipApp\API\Models\PostView.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\Question.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, -18, -40
"g:\InternShipApp\API\Models\QuestionSolution.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -11, -26
"g:\InternShipApp\API\Models\SubTask.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\SubTaskChecked.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\Task.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, -18, -40
"g:\InternShipApp\API\Models\TaskInternGroup.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\TaskSolution.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\Test.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -14, -32
"g:\InternShipApp\API\Models\TestGroupIntern.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -10, -24
"g:\InternShipApp\API\Models\TestQuestion.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -8, -20
"g:\InternShipApp\API\Models\VersionInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -5, -14
"g:\InternShipApp\API\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, -8, -29
"g:\InternShipApp\API\Properties\launchSettings.json", "JSON", 0, -41, 0, 0, 0, 0, 0, 0, 0, 0, -1, -42
"g:\InternShipApp\API\Services\TokenService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -6, -40
"g:\InternShipApp\API\Utils\EmailFields.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"g:\InternShipApp\API\Utils\Utils.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -82, 0, 0, -10, -92
"g:\InternShipApp\API\appsettings.Development.json", "JSON", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -1, -10
"g:\InternShipApp\API\appsettings.json", "JSON", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"g:\InternShipApp\README.md", "Markdown", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"g:\InternShipApp\client\README.md", "Markdown", 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, -14, -28
"g:\InternShipApp\client\angular.json", "JSON", 0, -101, 0, 0, 0, 0, 0, 0, 0, 0, -1, -102
"g:\InternShipApp\client\package-lock.json", "JSON", 0, -12154, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12155
"g:\InternShipApp\client\package.json", "JSON", 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, -1, -51
"g:\InternShipApp\client\src\app\admin\admin.dashboard\admin.dashboard.component.css", "CSS", 0, 0, 0, 0, 0, 0, -117, 0, 0, 0, -11, -128
"g:\InternShipApp\client\src\app\admin\admin.dashboard\admin.dashboard.component.html", "HTML", 0, 0, 0, 0, -40, 0, 0, 0, 0, 0, -2, -42
"g:\InternShipApp\client\src\app\admin\admin.dashboard\admin.dashboard.component.ts", "TypeScript", 0, 0, -72, 0, 0, 0, 0, 0, 0, 0, -7, -79
"g:\InternShipApp\client\src\app\admin\administration\administration.component.css", "CSS", 0, 0, 0, 0, 0, 0, -80, 0, 0, 0, -13, -93
"g:\InternShipApp\client\src\app\admin\administration\administration.component.html", "HTML", 0, 0, 0, 0, -42, 0, 0, 0, 0, -5, -12, -59
"g:\InternShipApp\client\src\app\admin\administration\administration.component.ts", "TypeScript", 0, 0, -120, 0, 0, 0, 0, 0, 0, 0, -11, -131
"g:\InternShipApp\client\src\app\admin\create-edit-dialog\create-edit-dialog.component.css", "CSS", 0, 0, 0, 0, 0, 0, -66, 0, 0, -8, -13, -87
"g:\InternShipApp\client\src\app\admin\create-edit-dialog\create-edit-dialog.component.html", "HTML", 0, 0, 0, 0, -35, 0, 0, 0, 0, -1, -3, -39
"g:\InternShipApp\client\src\app\admin\create-edit-dialog\create-edit-dialog.component.ts", "TypeScript", 0, 0, -115, 0, 0, 0, 0, 0, 0, 0, -10, -125
"g:\InternShipApp\client\src\app\admin\edit-group-dialog\edit-group-dialog.component.css", "CSS", 0, 0, 0, 0, 0, 0, -59, 0, 0, 0, -12, -71
"g:\InternShipApp\client\src\app\admin\edit-group-dialog\edit-group-dialog.component.html", "HTML", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, -4, -21
"g:\InternShipApp\client\src\app\admin\edit-group-dialog\edit-group-dialog.component.ts", "TypeScript", 0, 0, -127, 0, 0, 0, 0, 0, 0, 0, -16, -143
"g:\InternShipApp\client\src\app\admin\edit-group-members-dialog\edit-group-members-dialog.component.css", "CSS", 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, -10, -78
"g:\InternShipApp\client\src\app\admin\edit-group-members-dialog\edit-group-members-dialog.component.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -2, -12
"g:\InternShipApp\client\src\app\admin\edit-group-members-dialog\edit-group-members-dialog.component.ts", "TypeScript", 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, -12, -95
"g:\InternShipApp\client\src\app\admin\groups\groups.component.css", "CSS", 0, 0, 0, 0, 0, 0, -80, 0, 0, 0, -13, -93
"g:\InternShipApp\client\src\app\admin\groups\groups.component.html", "HTML", 0, 0, 0, 0, -51, 0, 0, 0, 0, -5, -14, -70
"g:\InternShipApp\client\src\app\admin\groups\groups.component.ts", "TypeScript", 0, 0, -122, 0, 0, 0, 0, 0, 0, 0, -16, -138
"g:\InternShipApp\client\src\app\app-routing.module.ts", "TypeScript", 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, -3, -68
"g:\InternShipApp\client\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"g:\InternShipApp\client\src\app\app.component.html", "HTML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"g:\InternShipApp\client\src\app\app.component.ts", "TypeScript", 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -5, -19
