"filename", "language", "JSON", "JSON with Comments", "XML", "Markdown", "C#", "TypeScript", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"g:\InternShipApp\API\Interfaces\Repository\ITestRepository.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"g:\InternShipApp\API\Models\Challange.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 13, 30
"g:\InternShipApp\API\Models\ChallangeSolution.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 12, 28
"g:\InternShipApp\API\Models\Chat.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 24
"g:\InternShipApp\API\Models\Comment.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 11, 26
"g:\InternShipApp\API\Models\Feedback.cs", "C#", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 15, 34
"g:\InternShipApp\API\Models\GetPeopleInGroupMeeting.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 13, 30
"g:\InternShipApp\API\Models\Group.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 13, 30
"g:\InternShipApp\API\Models\GroupChat.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 24
"g:\InternShipApp\API\Models\GroupChatMessage.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 24
"g:\InternShipApp\API\Models\GroupChatPerson.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 20
"g:\InternShipApp\API\Models\InternGroup.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 20
"g:\InternShipApp\API\Models\InternShipAppSystemContext.cs", "C#", 0, 0, 0, 0, 502, 0, 0, 0, 0, 0, 153, 655
"g:\InternShipApp\API\Models\Logging.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 20
"g:\InternShipApp\API\Models\Meeting.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 11, 26
"g:\InternShipApp\API\Models\MeetingInternGroup.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 24
"g:\InternShipApp\API\Models\Note.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 22
"g:\InternShipApp\API\Models\PasswordkLink.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"g:\InternShipApp\API\Models\Person.cs", "C#", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 40, 84
"g:\InternShipApp\API\Models\Post.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 13, 30
"g:\InternShipApp\API\Models\PostCommentReaction.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 12, 28
